,subcategory,category
0,Кафе,Поесть
500,Рестораны,Поесть
966,Бары,Поесть
1440,Суши-бары,Поесть
1940,Быстрое питание,Поесть
2441,Пиццерии,Поесть
2940,Фудкорты,Поесть
3048,Столовые,Поесть
3548,Кофейни,Поесть
4056,Точки кофе,Поесть
4549,Готовые блюда,Поесть
5048,Кафе-кондитерские,Поесть
5550,Кейтеринг,Поесть
6048,Чайные клубы,Поесть
6111,Рюмочные,Поесть
6200,Кофейные автоматы,Поесть
6656,Музеи,Развлечения
7157,Библиотеки,Развлечения
7655,Театры,Развлечения
7997,Художественные выставки,Развлечения
8476,Дома и дворцы культуры,Развлечения
521,Концертные залы,Развлечения
604,Городские оркестры,Развлечения
665,Хоровые капеллы,Развлечения
671,Обсерватории,Развлечения
688,Бани и сауны,Развлечения
1178,Паровые коктейли,Развлечения
1684,Кинотеатры,Развлечения
1881,Караоке,Развлечения
2386,Организация праздников,Развлечения
2881,Ночные клубы,Развлечения
3136,Детские игровые залы,Развлечения
3630,Квесты,Развлечения
4079,Спортивно-тактические клубы,Развлечения
4284,Бильярдные залы,Развлечения
4543,Антикафе,Развлечения
4685,Боулинг,Развлечения
4783,Стрелковые клубы,Развлечения
4889,Цирки,Развлечения
4907,Аттракционы,Развлечения
5435,Аренда беседок,Развлечения
5593,Билеты на мероприятия,Развлечения
5690,Дельфинарии,Развлечения
5714,Пляжи,Развлечения
5914,Видеоигры,Развлечения
6233,Научно-развлекательные центры,Развлечения
6354,Киностудии,Развлечения
6593,"Фотокабины, автоматы фотопечати",Развлечения
7087,Киноаттракционы,Развлечения
7116,Лотерейные билеты,Развлечения
7551,Стриптиз-клубы,Развлечения
7625,Компьютерные клубы,Развлечения
8206,Услуги Деда Мороза,Развлечения
8257,Центры виртуальной реальности,Развлечения
8416,Авиатренажёры,Развлечения
8429,Организация и проведение квизов,Развлечения
8474,Клубы настольных игр,Развлечения
8543,"Прокат игровых приставок, настольных игр",Развлечения
8585,Караоке-боксы,Развлечения
8608,Стендап-клубы,Развлечения
8626,Лектории,Развлечения
8663,"Круизы, морские, речные прогулки",Туризм
9128,Буккроссинг,Развлечения
9341,"Торговые центры, универмаги",Товары
9821,Торгово-развлекательные центры,Товары
9972,Рынки,Товары
10388,Спортивные товары,Товары
10927,Для дома,Товары
11032,Канцтовары и книги,Товары
11472,Техника,Товары
11999,Хозтовары,Товары
12476,Для животных,Товары
12975,Аэросъёмка,Услуги
13160,"Клубы домашних животных, питомники",Услуги
13406,Художественные мастерские,Услуги
13908,Организации по профориентации,Услуги
14023,Гончарные мастерские,Услуги
14160,Гостиницы,Туризм
14688,Хостелы,Туризм
15672,Туроператоры,Туризм
16180,Детские лагеря,Туризм
16658,Экскурсии по городу,Туризм
16874,Организация активных туров,Туризм
17109,Рыболовные центры,Туризм
17210,Внутренний туризм,Туризм
18169,Дневные детские лагеря,Туризм
18410,Мебель,Спецмагазины
18908,Продажа цветов,Спецмагазины
19409,"Одежда, обувь для спорта",Спецмагазины
19914,Детская одежда,Спецмагазины
20414,Джинсовая одежда,Спецмагазины
20912,Женская одежда,Спецмагазины
21411,Мужская одежда,Спецмагазины
21917,Трикотаж,Спецмагазины
22408,Верхняя одежда,Спецмагазины
22909,"Меха, кожа",Спецмагазины
23413,Обувные магазины,Спецмагазины
23912,Детская обувь,Спецмагазины
24424,Ювелирные изделия,Спецмагазины
24911,"Покупка драгоценных металов, ювелирных изделий",Спецмагазины
25285,Сувениры,Спецмагазины
25809,Сувенирные композиции,Спецмагазины
26294,Аксессуары для ванных комнат,Спецмагазины
26793,Антиквариат,Спецмагазины
27287,Ароматовары,Спецмагазины
27820,Валяльно-войлочные изделия,Спецмагазины
27999,Надувная мебель и бассейны,Спецмагазины
28087,Надувные конструкции,Спецмагазины
28150,Настольные игры,Спецмагазины
28681,Новогодние товары,Спецмагазины
29602,Товары для бань и саун,Спецмагазины
30000,Товары для пивоварения и самогоноварения,Спецмагазины
30153,Товары для праздников,Спецмагазины
30645,Товары для пчеловодства,Спецмагазины
30681,Товары для творчества и рукоделия,Спецмагазины
31182,Товары национальных и народных ремёсел,Спецмагазины
31372,Украшения для пирсинга,Спецмагазины
31493,Филателия и нумизматика,Спецмагазины
31713,Художественные товары,Спецмагазины
32214,Часы и аксессуары,Спецмагазины
32713,Эзотерические товары,Спецмагазины
32765,Эротические товары,Спецмагазины
33243,Ювелирные камни,Спецмагазины
33470,Косплей товары,Спецмагазины
33608,Оборудование для образовательных учреждений,Спецмагазины
33625,Супермаркеты,Продукты
34123,Гипермаркеты,Продукты
34298,Продуктовые магазины,Продукты
34794,Кондитерские изделия,Продукты
35293,"Рыба, морепродукты",Продукты
35797,Разливное пиво,Продукты
36293,Продажа кофе,Продукты
36799,Алкогольные напитки,Продукты
37299,Безалкогольные напитки,Продукты
37793,Хлебобулочные изделия,Продукты
38294,Ингредиенты азиатской кухни,Продукты
38376,Овощи и фрукты,Продукты
38887,"Мясо птицы, полуфабрикаты",Продукты
39365,Детское питание,Продукты
39731,Молочные продукты,Продукты
40229,Продукты пчеловодства,Продукты
40729,"Мука, крупы",Продукты
41051,Колбасные изделия,Продукты
41551,Диетические и соевые продукты,Продукты
41902,Мороженое,Продукты
42363,Консервы,Продукты
42867,"Сахар, соль",Продукты
42953,Специи,Продукты
43457,"Жир, масло",Продукты
43796,Сыры,Продукты
44306,Зерно,Продукты
44529,"Ягоды, грибы",Продукты
44871,Снековая продукция,Продукты
45376,"Орехи, семечки, сухофрукты",Продукты
45866,Молочные кухни,Продукты
46099,Пекарни,Продукты
46705,Новогодние сладкие подарки,Продукты
46747,Дарксторы,Продукты
47258,Фитнес-клубы,Спорт
47773,Тренажёрные залы,Спорт
48278,Секции,Спорт
48767,Бассейны,Спорт
49247,Ледовые дворцы,Спорт
49806,"Автодромы, мотодромы",Спорт
49913,Обучение танцам,Спорт
50396,Центры йоги,Спорт
50974,Спортивные школы,Спорт
51394,Картинг,Спорт
51491,Батутные центры,Спорт
51631,Аренда спортивных площадок,Спорт
52390,Велнес-залы,Спорт
52551,Организация спортивных мероприятий,Спорт
52635,Сквош-корты,Спорт
52671,Скалодромы,Спорт
52737,Спортивно-интеллектуальные клубы,Спорт
53114,Федерации спорта,Спорт
53439,Аквааэробика,Спорт
53955,Профессиональные спортивные клубы,Спорт
54132,Яхт-клубы,Спорт
54220,Гольф-клубы,Спорт
54397,Клубы настольного тенниса,Спорт
54650,Развитие детей,Образование
55174,"Детские, подростковые клубы",Образование
55654,Детские музыкальные школы,Образование
56101,Детские художественные школы,Образование
56152,Театральные курсы,Образование
56669,Киношколы,Образование
56981,Музыкальные курсы,Образование
57481,Курсы вокала,Образование
57994,Школы искусств,Образование
58455,Курсы творчества и рукоделия для взрослых,Образование
58868,Культурно-досуговые центры для взрослых,Образование
59144,Школы телевидения,Образование
59211,Курсы робототехники,Образование
7986,Филармонии,Развлечения
8468,Планетарии,Развлечения
0,Парки культуры и отдыха,Развлечения
4513,Зоопарки,Развлечения
4753,Аквапарки,Развлечения
5393,Океанариумы,Развлечения
5395,Ботанические сады,Развлечения
6254,Дайвинг-центры,Развлечения
6312,Аэродинамические комплексы,Развлечения
6976,Верёвочные парки,Развлечения
7064,Роллердромы,Развлечения
7462,Парки бабочек,Развлечения
7467,Парки водного спорта,Развлечения
8086,Скейт-парк,Развлечения
8188,Парки динозавров,Развлечения
8531,Хаски-центры,Развлечения
8658,Резиденции Деда Мороза,Развлечения
9322,Прокат компьютеров,Развлечения
13037,Дизайн аквариумов,Услуги
13093,Зоотакси,Услуги
13132,Зооателье,Услуги
13989,Совместные покупки,Услуги
13997,Онлайн-кинотеатры,Услуги
15156,Базы отдыха,Туризм
17615,Охотничьи центры,Туризм
17629,Кемпинги,Туризм
25262,Изготовление и ремонт ювелирных изделий,Спецмагазины
27843,Геодезическое оборудование,Спецмагазины
27945,Геофизическое оборудование,Спецмагазины
27963,Картографическая продукция,Спецмагазины
29578,Товары для аэрографии,Спецмагазины
31178,Товары для фокусов,Спецмагазины
46597,Продовольственные киоски,Продукты
49431,Конные клубы,Спорт
49689,Горнолыжные комплексы,Спорт
49707,Стадионы / Спортивные арены,Спорт
52121,Теннисные корты,Спорт
53358,Авиационные клубы,Спорт
54245,ВУМ гимнастика,Спорт
54246,Спортивно-технические клубы,Спорт
54292,Военно-патриотические клубы,Спорт
54340,"Обучение горнолыжному спорту, сноубордингу",Спорт
54369,Центры адаптивного спорта,Спорт
54592,Студии медитации,Спорт
29071,Продажа живых бабочек,Спецмагазины
669,Акватеррариумы,Развлечения
7809,"Букмекеры, лотереи",Развлечения
29272,Мавзолей,Развлечения
